,,Setosa,,,
Attribute,Sepal length,Sepal width,Petal length,Petal width,Specie
Minimum,4.3,2.3,1.0,0.1,Setosa
Maximum,5.8,4.4,1.9,0.6,Setosa
Scatter,1.5,2.1000000000000005,0.8999999999999999,0.5,Setosa
Average,5.006,3.418,1.464,0.244,Setosa
Std Dev,0.349,0.377,0.172,0.106,Setosa

,,Versicolor,,,
Attribute,Sepal length,Sepal width,Petal length,Petal width,Specie
Minimum,4.9,2.0,3.0,1.0,Versicolor
Maximum,7.0,3.4,5.1,1.8,Versicolor
Scatter,2.0999999999999996,1.4,2.0999999999999996,0.8,Versicolor
Average,5.936,2.7700000000000005,4.26,1.3259999999999998,Versicolor
Std Dev,0.511,0.311,0.465,0.196,Versicolor

,,Virginica,,,
Attribute,Sepal length,Sepal width,Petal length,Petal width,Specie
Minimum,4.9,2.2,4.5,1.4,Virgninica
Maximum,7.9,3.8,6.9,2.5,Virgninica
Scatter,3.0,1.5999999999999996,2.4000000000000004,1.1,Virgninica
Average,6.587999999999998,2.974,5.5520000000000005,2.0260000000000002,Virgninica
Std Dev,0.629,0.319,0.546,0.272,Virgninica
